,grade,stateabb,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
0,3,AK,200351.4827586207,2.0,2013.0,183.68291896551722,189.764975,179.59936499999998,185.90183937499998,195.79631799999999,180.502634,211.8275188888889,22.47617725,33.85385099999999,16.0062987,-10.45860526
1,3,AL,101699.48507462686,1.0,2013.0,206.6110291044777,239.29975000000002,193.00916239999998,210.3129049624061,194.87395135135134,202.87505962406027,216.39741603448277,-8.065085536363636,23.389985468292682,23.126707702777782,-7.437844980624057
2,3,AR,506836.9356223176,5.0,2013.0,207.88221592274664,227.953674,190.52704879310338,216.13436234636882,200.15601290322581,199.39225481481486,212.31920825471713,-10.206597960000002,24.502368371739127,16.04270978387097,-15.361094904595763
3,3,AZ,404938.46896551724,4.0,2013.0,194.61237696551729,216.47487703703706,188.4592737209303,200.34377760330568,189.8482570999999,190.99082783999992,209.89916829545456,-0.7582646466666668,22.194735329999997,18.41154995285714,-9.190639387085467
4,3,CA,621592.5390070922,6.0,2013.0,198.34875546099275,219.2949007857142,189.37421852272726,202.98635552674256,187.74126032846718,195.97489068799996,210.85798830855018,-5.1741837158731325,20.920064520229406,21.30175459791184,-6.937269805231406
5,3,CO,804474.0247933884,8.0,2013.0,214.09096239669415,219.30578111111106,202.68866315789478,217.1685751612903,199.8150739393939,208.70070733333333,220.86481528301883,5.161719388888889,22.765034831578944,20.711489274193546,-8.148793063802321
6,3,CT,902707.4342105263,9.0,2013.0,222.74241624999993,233.41986967741934,201.08303374999994,225.83283151079132,203.80336638297877,220.97038134751782,226.30932904761903,-4.768241596129032,21.599849296551728,18.937505580212772,-4.707472972014705
7,3,DC,1100030.0,11.0,2013.0,194.3,,185.49312,200.14563,191.25308,188.44269,248.13591,,62.64279200000001,56.882828,-11.702942
8,3,DE,1000796.6666666666,10.0,2013.0,213.7106526666667,232.83021000000002,200.83675266666665,215.45958466666667,202.90049833333333,212.068504,224.66127733333335,-9.3141404,23.824522866666666,22.355260233333336,-3.3910786786666662
9,3,FL,1201062.5857142857,12.0,2013.0,216.27842114285716,232.24168230769232,201.02748541666668,219.30105352941175,209.03068428571424,213.26946028985506,223.5430759259259,-4.000890872307692,23.74261772826087,16.06110251219512,-6.063019914970589
10,3,GA,1302876.8595505618,13.0,2013.0,204.8661117977529,224.1127138095238,191.0016471428571,208.53044833333328,196.8886570454545,202.4436788439307,218.93245272727276,3.5790703934761905,28.085179733823527,25.13549053563219,-6.050376578248556
11,3,HI,1500030.0,15.0,2013.0,202.27501,199.16106000000002,199.88128999999998,208.41461,195.81602,196.41343999999998,223.64087999999998,24.479828,23.759598,27.824859999999997,-12.001175
12,3,IA,1916405.2666666666,19.0,2013.0,213.28329116666674,215.84816,188.70616500000003,216.31297577889444,192.8689896774194,210.4547281981982,215.1233438620689,4.4992659779999995,28.5217229,22.31868081333333,-5.249397020055375
13,3,ID,1601690.4512195121,16.0,2013.0,201.37322536585367,207.81744,181.47876000000002,206.68026388059704,184.34369714285717,200.50996276923075,207.92999986301368,4.53942359,29.902053999999996,24.738331976470587,-6.5142989500000015
14,3,IL,1721585.1856287424,17.0,2013.0,209.42982525449125,229.1734957142857,190.8773601574804,215.7375232490275,195.7156195480227,204.7996915311911,213.7768529556651,-3.5728552810000003,23.973080073118272,20.965687080121008,-10.949058448437876
15,3,IN,1806560.293286219,18.0,2013.0,215.717192261484,224.738618,197.3172306976744,219.7473144890513,204.05286026666664,211.7399072101449,217.72903700000006,3.0919159199999995,21.818647380487803,15.576676892361112,-8.072119750166662
16,3,KS,2007532.9074074074,20.0,2013.0,214.58398981481488,,194.75688750000003,214.9319663636364,201.74694374999999,213.24407222222226,216.57290636815912,,19.549768916666668,15.962431406562498,-1.6462266122131144
17,3,KY,2102927.8421052634,21.0,2013.0,210.62507543859638,219.86409500000002,193.11121892857142,213.6692187195122,200.9697468,208.52498335365848,212.5149023668639,-3.437606675,22.816373585714285,15.596882372,-5.070856901059316
18,3,LA,2200940.9305555555,22.0,2013.0,196.69378402777778,217.02659083333336,184.6601106060606,201.98087185714294,199.4828039130435,190.79668605633807,208.0658196969696,-3.613416010666667,20.52013309672131,11.451993873913043,-12.017297607142856
19,3,MA,2507219.48046875,25.0,2013.0,225.01191171874996,234.794651875,203.0102915789474,229.89077478991598,200.40110574074077,219.82063050000008,227.1495646062992,-5.976072651895834,18.92005719236842,20.599787981481487,-9.96125116659575
20,3,MD,2400375.0,24.0,2013.0,213.32107791666667,229.00054500000002,195.16011499999996,219.66477874999998,205.1542582352941,207.36577499999999,221.58822083333334,-1.9068389586999999,27.457411318181823,20.019097652941173,-12.299005529166665
21,3,ME,2311361.7115384615,23.0,2013.0,213.13396778846143,178.24518,183.788805,218.7091016091953,,208.49199104651163,213.76077058252423,40.659286,22.5296095,,-9.977628082771085
22,3,MI,2619355.6440329216,26.0,2013.0,202.50389432098746,221.12705499999998,183.61707313725483,207.51820260465112,193.01204381578944,198.42383795045038,205.39849989270385,-6.511724418947369,19.87137828783516,14.244782951369864,-8.874217432014254
23,3,MN,2718187.2350993375,27.0,2013.0,215.06531970198677,214.35045741935485,196.60136256410252,217.84413872340426,195.20154769230766,213.1763786554622,219.1282954545453,12.138799921935483,29.485614613157885,28.0674765,-4.694482121887893
24,3,MO,2918729.4827586208,29.0,2013.0,210.17763082228106,225.36091266666668,198.83013296296303,216.2668295149254,200.3588285714286,205.4470847272728,211.7567677222221,-4.410508205333333,20.157793538000007,15.224271183095235,-10.966542654780877
25,3,MS,2802604.206896552,28.0,2013.0,193.8930672413793,233.22749000000005,186.14020516393447,198.78376503496506,190.822072,188.90756821428562,204.75911010204086,-17.842874039999998,18.23993163580246,18.94613544,-9.72400161107143
26,3,MT,3013022.2395833335,30.0,2013.0,209.2961406249999,196.7538,195.174545,211.70402444444446,192.10166,205.3142636363637,214.67228772151898,6.6075287,16.894661,23.848810666666665,-6.731206035936169
