stateabb,grade,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
AK,5.5,200358.6150993982,2.0,2013.0,219.29001825578754,249.9614066353381,220.91584130570072,230.93836064705908,225.2439794217669,223.1237244709448,243.28780526435585,-1.0763255754351444,21.763858366469393,17.13485273221909,-9.105615007108701
AL,5.5,101699.48507462686,1.0,2013.0,230.31272776119408,254.95111818473288,217.2087423338485,235.36952403009414,223.41962497143535,225.44837850627758,242.47316289613119,-4.625825745505998,24.50057182026511,19.4721416733134,-9.808630065604993
AR,5.5,506810.86930028925,5.0,2013.0,232.57171191177395,254.6296084243197,220.11117153291562,242.94720690107525,224.8494754989407,225.74327560885288,237.58281507933808,-4.7764706773178185,21.76365247472458,17.60075203816967,-15.90199721572594
AZ,5.5,404911.13675099425,4.0,2013.0,224.0053708547044,252.91593515817783,220.23618567596603,231.79682442431195,221.84315316753137,222.11343133787014,239.58479175326386,-4.300385303795639,20.985111733095856,16.69341493294448,-9.457758341969715
CA,5.5,621559.5190629927,6.0,2013.0,229.61217507747847,252.65091785889737,220.9310107582703,235.48539599878322,220.7533060978743,227.2568101055369,241.42460553114915,-5.027218316649997,21.275252765600673,18.940304631883574,-7.998838690919553
CO,5.5,804489.8103966713,8.0,2013.0,240.24120941155914,253.70274731304517,221.61800743502866,244.13940198113912,226.2736837922017,234.5457931752711,246.39612942941116,-3.573313363913345,21.618499020552907,18.32450517393625,-9.657030224382023
CT,5.5,902717.7353062929,9.0,2013.0,250.61867049270438,256.32169536902825,222.06013950880083,252.60412162154583,226.7642786394242,246.54202225619875,253.83376404753207,-5.3160758608970236,21.84108890622761,18.30828623275071,-6.014823406406184
DC,5.5,1100030.0,11.0,2013.0,220.54999999999998,256.20028148220973,213.79481333333334,226.94739,218.1491535697637,214.14467333333332,266.0250344025141,12.863717045381733,55.80920942882005,47.83311986636786,-12.8027165
DE,5.5,1000774.7222222221,10.0,2013.0,237.88097367361115,257.77506919214454,224.80404176548143,240.84001022222228,228.3263250012213,235.05994838690378,247.20679845833334,-7.01293810157587,22.45794383587537,17.84283538082641,-5.710495352728835
FL,5.5,1201060.5273008663,12.0,2013.0,239.3283283670622,256.54255471919845,222.97119995162237,242.7247520787048,230.49852596990254,235.86834701241366,245.82871247137868,-6.3879910272980895,22.991162790093593,15.414186549633863,-6.609392597758628
GA,5.5,1302866.9294195804,13.0,2013.0,230.92921267847805,254.42882512021006,218.53953537724576,235.52658114662609,225.1274579408798,227.831299025074,242.2356045302187,-4.505993174636254,23.324268946450317,18.073308482399348,-7.573718383959837
HI,5.5,1500030.0,15.0,2013.0,230.58750166666664,227.42260833333333,231.58455999999998,236.19571166666665,229.5944783333333,225.1961983333333,249.45232666666666,22.029719333333336,17.867767333333333,19.857846833333333,-10.999514166666666
IA,5.5,1916532.7219583623,19.0,2013.0,240.7774817828249,254.2266833302043,220.45622904635567,243.33292519392762,224.38329155692065,238.42034194461598,242.70936154764522,-4.376985324967137,22.15223035520749,18.078750866286423,-5.533239724790121
ID,5.5,1601682.5665066505,16.0,2013.0,233.81852781869893,254.2886703430767,220.66938997131402,238.42905155281156,221.22744635613253,232.45072512658587,240.0664326603469,-4.599073694706563,21.854758085411458,20.13712425083414,-5.9964043421664455
IL,5.5,1721600.9892104974,17.0,2013.0,237.86171646887672,255.0611799832885,220.55988511803022,243.23829080372403,224.99537659980032,234.00364785371934,241.91864344524916,-4.746873614176579,22.05410966092761,17.920344216829438,-9.086754825282249
IN,5.5,1806525.4084106202,18.0,2013.0,240.67107322656338,254.6028921462142,221.38246812495603,245.8040627595005,225.96247730195788,235.71401600347917,242.46909725616146,-4.5455774868514895,21.39690828366784,16.868439289360932,-9.887648044719947
