stateabb,grade,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
AK,5.5,200366.58346161744,2.0,2013.0,245.28414864204714,271.97255985045535,239.5543514619087,250.43265621980694,245.3398289719885,248.81059309952389,261.30716055368123,-7.755607258874214,19.939669837250165,13.476515775424053,-1.8235207529087882
AL,5.5,101699.48507462686,1.0,2013.0,244.61179697761193,275.92907939926755,234.29367118989762,246.50005359783506,243.4620479665034,243.01057034118173,254.2421918113545,-11.357089315354377,20.08349915848726,13.488380919858399,-3.375456407899877
AR,5.5,506816.4226081183,5.0,2013.0,252.08073124341544,275.59767682208064,238.49634587089983,254.964542066517,245.08967661842325,252.03051030291968,256.82595605560476,-10.883825442479385,20.538942358663487,13.682062250440191,-2.3418011256044626
AZ,5.5,404909.00602812273,4.0,2013.0,249.11578946463746,275.33286985018213,239.6263602600303,252.38493195753188,245.95952940272562,249.56021063338918,260.3097119203969,-10.678022636151146,19.9875226915125,13.488177349889595,-2.6230455064809206
CA,4.5,621523.5154277623,6.0,2013.0,236.64026188610387,268.75510788959,235.79220895633034,239.81292557895705,232.9415658319746,239.868777052625,247.9373185564225,-11.017809891274911,19.71849654726477,14.030068496207004,0.19849074707236536
CO,5.5,804494.9544006189,8.0,2013.0,259.3369859725846,275.4412098917184,239.86708567656555,258.3331022892243,246.73027535345042,258.25687321153197,264.58434250733745,-9.804347400597633,20.58146800940435,15.148929820816788,-0.2331582703297803
CT,5.5,902717.6348186093,9.0,2013.0,262.94739875692375,277.15528344602427,238.7028832664846,262.4613368904937,244.75036248092928,262.36062091004186,265.9473273572523,-11.784534686070769,20.62467470264181,14.93050448059964,-0.1329686042196048
DC,5.5,1100030.0,11.0,2013.0,241.799995,277.1698033333334,235.6459616666667,244.24843666666663,244.80992500000002,239.47322833333337,279.871724711799,7.912894967610316,47.72467112805703,38.2566719076701,-4.775207516666666
DE,5.5,1000774.7222222221,10.0,2013.0,257.11452085416664,280.2293944395666,244.91883939306362,256.5834134236111,249.39022235491447,257.529261675646,264.7307676666667,-14.729554404147388,19.614598653628565,13.731332502134258,1.136829019691274
FL,5.5,1201062.2579504137,12.0,2013.0,254.29751656871952,277.8052894492577,238.62408059149024,254.4803842606275,248.79434099971846,254.45901008233457,260.4729164206414,-13.465133077315732,21.445253901206527,11.76754996125677,0.14600488427810906
GA,5.5,1302866.9294195804,13.0,2013.0,250.59296033059238,276.1267278896997,239.8142363850824,252.29053288371975,246.9235776210512,249.93250807427304,258.7647587054929,-11.355281397921134,18.82047633887341,12.506675303549642,-2.2531120762240238
HI,5.5,1500030.0,15.0,2013.0,256.8125,255.92689500000003,249.06093833333333,258.4285516666667,251.42975,255.259325,265.74056333333334,9.813667283333332,16.679624,14.310811333333334,-3.1692250533333337
IA,5.5,1916532.874983103,19.0,2013.0,260.16766351779955,275.7363364975273,238.6651938203078,258.91494066432483,244.7621406633415,260.75430276055107,261.7461820262984,-10.834067769697,20.533836756317108,13.987395350845135,1.308732571843595
ID,5.5,1601686.2057630282,16.0,2013.0,254.89663920546343,275.1467614834111,238.66241873431036,255.22568749814414,243.54476955180994,255.6461550305307,259.1406256849212,-10.584148166253483,20.32767194758088,15.0677819066547,0.5794729392314042
IL,5.5,1721611.0288328424,17.0,2013.0,255.76463942917167,276.42078995334845,238.45880800639875,256.9544883101059,244.96848165031034,256.0178131354075,259.4094719569983,-10.993267386358085,20.793640096628536,14.284739250706288,-0.8179853149243178
IN,5.5,1806532.3442461754,18.0,2013.0,263.05854501562675,276.27465588903334,239.9363541243916,262.45886273928267,247.12796683932137,263.4179384163607,264.77802321911076,-10.990591768947453,20.27055518749344,13.32427368918808,1.0190719156159165
KS,5.5,2007472.295052954,20.0,2013.0,262.30408396634704,275.60764561443864,239.49505288610843,260.232525273417,245.89060912815003,260.6377999619361,263.9565446511713,-10.815367989133406,19.819145520118408,13.212832057806276,-0.04099746354261632
