stateabb,grade,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
AK,5.5,200358.6150993982,2.0,2013.0,219.29001825578754,226.3904533611111,219.7616208333333,223.1503442537768,229.78259780555558,215.36429667543862,244.1313341456229,16.855201493777777,22.795364388888885,13.048294510833335,-9.485464409978213
AL,5.5,101699.48507462686,1.0,2013.0,230.31272776119408,260.64928391203705,215.83674476221003,235.3173750250627,221.5669611056809,225.42828414444216,242.5036188736881,-3.3346471915652356,26.135816748103636,23.673266242793243,-9.821146009613305
AR,5.5,506810.86930028925,5.0,2013.0,232.57171191177395,257.5321320515873,217.45477481464158,242.54245645639205,227.81181555056503,223.9277922921219,237.15187322652525,-8.916679088392858,22.020646982319764,15.74004465628782,-18.234863662668765
AZ,5.5,404911.13675099425,4.0,2013.0,224.0053708547044,246.1454086551798,218.74697680417128,229.87178664802727,220.38103461622163,220.34845644427074,237.3489416567435,-2.511963342076114,19.256225629514418,15.780924389330066,-9.625707996794233
CA,5.5,621559.5190629927,6.0,2013.0,229.61217507747847,249.42156176017477,220.36043257025963,234.32988692026765,219.56153723689815,226.28090497587633,241.0443638354424,-5.557981050200677,19.951000016149568,19.6364004892523,-7.879130368401476
CO,5.5,804489.8103966713,8.0,2013.0,240.24120941155914,248.6872009995126,229.02539906687306,245.07952492800305,228.1231098377846,234.9043218149432,247.03815763773866,2.6465814465236694,20.8048836980952,18.79282960188534,-10.071593836498087
CT,5.5,902717.7353062929,9.0,2013.0,250.61867049270438,263.63937886955,226.98164219740002,253.50543561846177,231.234192181697,247.7082253485818,254.27166852497814,-7.7353694582712835,22.372110811609193,19.236105548711485,-5.7452927489563175
DC,5.5,1100030.0,11.0,2013.0,220.54999999999998,257.015075,213.79481333333334,226.94739,216.87810399999998,214.14467333333332,270.700546,30.42810033333333,62.62772540000001,53.8224426,-12.8027165
DE,5.5,1000774.7222222221,10.0,2013.0,237.88097367361115,262.2332221388889,224.7905347986111,240.84001022222228,231.22591790151515,235.13286831944447,247.20679845833334,-12.084438965416666,22.457899911359124,17.655714013080807,-5.660539203604166
FL,5.5,1201060.5273008663,12.0,2013.0,239.3283283670622,259.96094809636753,223.64119539809676,242.6791952491346,234.0846842817912,236.08658720229425,246.10253394729412,-9.35847499229641,23.748128453182733,13.63245984820545,-6.572792809397231
