stateabb,grade,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
AK,5.5,200366.58346161744,2.0,2013.0,245.28414864204714,255.18415961904762,244.78102388888888,246.8795089496832,251.87363422222222,243.86113657236842,262.8148746885522,7.62935223638889,18.562639894444445,11.10182133888889,-3.0191968124305557
AL,5.5,101699.48507462686,1.0,2013.0,244.61179697761193,278.94756448893696,232.6996337038461,246.4252817794486,241.82929337345615,242.95577043598794,253.37257896451766,-15.252700707789563,20.030754279402736,12.541137942502509,-3.405197254066002
AR,5.5,506816.4226081183,5.0,2013.0,252.08073124341544,271.6328868095238,236.9197610884025,254.15466473233596,250.0550499366786,251.0717104840747,256.5645311226951,-5.439689712589286,22.1066825478045,12.68428182222362,-2.893109950017127
AZ,5.5,404909.00602812273,4.0,2013.0,249.11578946463746,274.5692624199275,241.2661123380091,251.57786248838738,246.3803341072327,248.60810525904915,260.005769722283,-9.082954490512412,19.69532798509748,13.16546943092571,-3.055703265175108
CA,4.5,621523.5154277623,6.0,2013.0,236.64026188610387,258.12197591491173,226.43233683067655,237.1936738071699,229.4520897842158,237.46179055476298,244.1745700447004,-10.976123452118568,18.44135304154277,14.142286490741485,0.32191594827322445
CO,5.5,804494.9544006189,8.0,2013.0,259.3369859725846,273.66070782688337,246.72554779831012,259.29924113880685,248.91110700626248,259.10566380219944,265.3659416560927,-2.8725843437204452,23.624025315125127,16.49544567565123,-0.1461987857842974
CT,5.5,902717.6348186093,9.0,2013.0,262.94739875692375,283.12371322347116,238.119773121284,263.02392139918953,245.3170570078514,262.97435553313466,266.18959512797295,-14.739943063100407,22.773215460696324,17.298824649336144,-0.10429256618627376
DC,5.5,1100030.0,11.0,2013.0,241.799995,277.1698033333334,235.6459616666667,244.24843666666663,244.80992500000002,239.47322833333337,283.85183,11.704919360000002,53.2489318,43.136154399999995,-4.775207516666666
DE,5.5,1000774.7222222221,10.0,2013.0,257.11452085416664,288.09346166666666,245.0210581041667,256.5834134236111,251.7195185882173,257.59537736805555,264.7307676666667,-20.794573433333333,19.617907664375,13.70015217626984,1.1578704078652777
FL,5.5,1201062.2579504137,12.0,2013.0,254.29751656871952,281.30041343532764,238.45839610129133,254.3915423681508,251.3207646364825,254.59585942213334,259.92469183027885,-17.634123390525357,22.20469201583248,10.223692174615143,0.1561653015110378
GA,5.5,1302866.9294195804,13.0,2013.0,250.59296033059238,279.48435652929294,240.00831707471832,252.19058001669475,250.67824347580515,249.78307761040992,258.6920934626993,-13.416783331895559,18.414333813948186,10.940117074258993,-2.32196301262749
HI,5.5,1500030.0,15.0,2013.0,256.8125,255.92689500000003,249.06093833333333,258.4285516666667,251.42975,255.259325,265.74056333333334,9.813667283333332,16.679624,14.310811333333334,-3.1692250533333337
IA,5.5,1916532.874983103,19.0,2013.0,260.16766351779955,276.5148898470973,234.87165494449994,259.42466702855177,247.89369586936502,261.78906729671365,261.6219826361052,-5.9210089712099006,29.283506812266623,15.195863028952958,2.34800616974737
ID,5.5,1601686.2057630282,16.0,2013.0,254.89663920546343,262.7567471666667,231.2137513888889,255.2512540074791,242.67994971764884,255.99142273292628,259.0178422279549,-1.819243457222222,29.113220611111107,16.696183687029265,0.9252029031516519
IL,5.5,1721611.0288328424,17.0,2013.0,255.76463942917167,283.08545291139995,236.4221543946908,257.064757976462,246.95874552951736,256.0427142232107,259.34029266433254,-10.556804205370435,25.0759719246654,15.668654534464089,-0.9317642171895555
